category,path
dog,audio/1-100032-A-0.wav
dog,audio/1-110389-A-0.wav
dog,audio/1-30226-A-0.wav
dog,audio/1-30344-A-0.wav
dog,audio/1-32318-A-0.wav
dog,audio/1-59513-A-0.wav
dog,audio/1-85362-A-0.wav
dog,audio/1-97392-A-0.wav
rooster,audio/1-26806-A-1.wav
rooster,audio/1-27724-A-1.wav
rooster,audio/1-34119-A-1.wav
rooster,audio/1-34119-B-1.wav
rooster,audio/1-39923-A-1.wav
rooster,audio/1-40730-A-1.wav
rooster,audio/1-43382-A-1.wav
rooster,audio/1-44831-A-1.wav
pig,audio/1-208757-A-2.wav
pig,audio/1-208757-B-2.wav
pig,audio/1-208757-C-2.wav
pig,audio/1-208757-D-2.wav
pig,audio/1-208757-E-2.wav
pig,audio/1-260640-A-2.wav
pig,audio/1-260640-B-2.wav
pig,audio/1-260640-C-2.wav
cow,audio/1-16568-A-3.wav
cow,audio/1-202111-A-3.wav
cow,audio/1-58277-A-3.wav
cow,audio/1-69422-A-3.wav
cow,audio/1-69641-A-3.wav
cow,audio/1-77160-A-3.wav
cow,audio/1-77241-A-3.wav
cow,audio/1-81269-A-3.wav
cat,audio/1-34094-A-5.wav
cat,audio/1-34094-B-5.wav
cat,audio/1-47819-A-5.wav
cat,audio/1-47819-B-5.wav
cat,audio/1-47819-C-5.wav
cat,audio/1-56380-A-5.wav
cat,audio/1-56380-B-5.wav
cat,audio/1-79113-A-5.wav
hen,audio/1-18074-A-6.wav
hen,audio/1-18074-B-6.wav
hen,audio/1-31251-A-6.wav
hen,audio/1-31251-B-6.wav
hen,audio/1-5996-A-6.wav
hen,audio/1-71030-A-6.wav
hen,audio/1-72229-A-6.wav
hen,audio/1-72229-B-6.wav
sheep,audio/1-121951-A-8.wav
sheep,audio/1-196660-A-8.wav
sheep,audio/1-196660-B-8.wav
sheep,audio/1-49409-A-8.wav
sheep,audio/1-49409-B-8.wav
sheep,audio/1-57795-A-8.wav
sheep,audio/1-75190-A-8.wav
sheep,audio/1-88574-A-8.wav
frog,audio/1-15689-A-4.wav
frog,audio/1-15689-B-4.wav
frog,audio/1-17970-A-4.wav
frog,audio/1-18755-A-4.wav
frog,audio/1-18755-B-4.wav
frog,audio/1-18757-A-4.wav
frog,audio/1-31836-A-4.wav
frog,audio/1-31836-B-4.wav
door_wood_knock,audio/1-101336-A-30.wav
door_wood_knock,audio/1-103995-A-30.wav
door_wood_knock,audio/1-103999-A-30.wav
door_wood_knock,audio/1-26188-A-30.wav
door_wood_knock,audio/1-52290-A-30.wav
door_wood_knock,audio/1-81001-A-30.wav
door_wood_knock,audio/1-81001-B-30.wav
door_wood_knock,audio/1-82817-A-30.wav
mouse_click,audio/1-118206-A-31.wav
mouse_click,audio/1-18655-A-31.wav
mouse_click,audio/1-45645-A-31.wav
mouse_click,audio/1-81851-A-31.wav
mouse_click,audio/1-85123-A-31.wav
mouse_click,audio/1-95563-A-31.wav
mouse_click,audio/1-97793-A-31.wav
mouse_click,audio/1-99958-A-31.wav
keyboard_typing,audio/1-137-A-32.wav
keyboard_typing,audio/1-53501-A-32.wav
keyboard_typing,audio/1-61212-A-32.wav
keyboard_typing,audio/1-62594-A-32.wav
keyboard_typing,audio/1-79711-A-32.wav
keyboard_typing,audio/1-84393-A-32.wav
keyboard_typing,audio/1-94231-A-32.wav
keyboard_typing,audio/1-94231-B-32.wav
can_opening,audio/1-101404-A-34.wav
can_opening,audio/1-41615-A-34.wav
can_opening,audio/1-43764-A-34.wav
can_opening,audio/1-58846-A-34.wav
can_opening,audio/1-60676-A-34.wav
can_opening,audio/1-68670-A-34.wav
can_opening,audio/1-68734-A-34.wav
can_opening,audio/1-69165-A-34.wav
washing_machine,audio/1-21896-A-35.wav
washing_machine,audio/1-23996-A-35.wav
washing_machine,audio/1-23996-B-35.wav
washing_machine,audio/1-27165-A-35.wav
washing_machine,audio/1-27166-A-35.wav
washing_machine,audio/1-32373-A-35.wav
washing_machine,audio/1-32373-B-35.wav
washing_machine,audio/1-49098-A-35.wav
vacuum_cleaner,audio/1-100210-A-36.wav
vacuum_cleaner,audio/1-100210-B-36.wav
vacuum_cleaner,audio/1-19840-A-36.wav
vacuum_cleaner,audio/1-19872-A-36.wav
vacuum_cleaner,audio/1-19872-B-36.wav
vacuum_cleaner,audio/1-46744-A-36.wav
vacuum_cleaner,audio/1-60460-A-36.wav
vacuum_cleaner,audio/1-79236-A-36.wav
clock_alarm,audio/1-13613-A-37.wav
clock_alarm,audio/1-14262-A-37.wav
clock_alarm,audio/1-34853-A-37.wav
clock_alarm,audio/1-67033-A-37.wav
clock_alarm,audio/1-72195-A-37.wav
clock_alarm,audio/1-72195-B-37.wav
clock_alarm,audio/1-74517-A-37.wav
clock_alarm,audio/1-96890-A-37.wav
clock_tick,audio/1-21934-A-38.wav
clock_tick,audio/1-21935-A-38.wav
clock_tick,audio/1-35687-A-38.wav
clock_tick,audio/1-42139-A-38.wav
clock_tick,audio/1-48413-A-38.wav
clock_tick,audio/1-57163-A-38.wav
clock_tick,audio/1-62849-A-38.wav
clock_tick,audio/1-62850-A-38.wav
glass_breaking,audio/1-20133-A-39.wav
glass_breaking,audio/1-84536-A-39.wav
glass_breaking,audio/1-84704-A-39.wav
glass_breaking,audio/1-84705-A-39.wav
glass_breaking,audio/1-85168-A-39.wav
glass_breaking,audio/1-85184-A-39.wav
glass_breaking,audio/1-88807-A-39.wav
glass_breaking,audio/1-977-A-39.wav
siren,audio/1-31482-A-42.wav
siren,audio/1-31482-B-42.wav
siren,audio/1-54084-A-42.wav
siren,audio/1-76831-A-42.wav
siren,audio/1-76831-B-42.wav
siren,audio/1-76831-C-42.wav
siren,audio/1-76831-D-42.wav
siren,audio/1-76831-E-42.wav
car_horn,audio/1-17124-A-43.wav
car_horn,audio/1-19026-A-43.wav
car_horn,audio/1-24074-A-43.wav
car_horn,audio/1-24076-A-43.wav
car_horn,audio/1-254507-A-43.wav
car_horn,audio/1-26176-A-43.wav
car_horn,audio/1-26177-A-43.wav
car_horn,audio/1-28808-A-43.wav
train,audio/1-119125-A-45.wav
train,audio/1-54065-A-45.wav
train,audio/1-54065-B-45.wav
train,audio/1-62509-A-45.wav
train,audio/1-64473-A-45.wav
train,audio/1-70300-A-45.wav
train,audio/1-88409-A-45.wav
train,audio/1-88409-B-45.wav
